序号,经度,纬度
609,120.689826,36.355302
610,120.689844,36.355295
611,120.689863,36.355288
612,120.689882,36.355281
613,120.689901,36.355274
614,120.689920,36.355267
615,120.689939,36.355260
616,120.689958,36.355253
617,120.689977,36.355246
618,120.689996,36.355239
619,120.690015,36.355232
620,120.690034,36.355225
621,120.690053,36.355218
622,120.690072,36.355211
623,120.690091,36.355204
624,120.690110,36.355197
625,120.690129,36.355190
626,120.690148,36.355183
627,120.690167,36.355176
628,120.690186,36.355169
629,120.690205,36.355162
630,120.690224,36.355155
631,120.690243,36.355148
632,120.690262,36.355141
633,120.690281,36.355134
634,120.690300,36.355127
635,120.690319,36.355120
636,120.690338,36.355113
637,120.690357,36.355106
638,120.690376,36.355099
639,120.690395,36.355092
640,120.690414,36.355085
641,120.690433,36.355078
642,120.690452,36.355071
643,120.690471,36.355064
644,120.690509,36.355050
645,120.690528,36.355044
646,120.690548,36.355037
647,120.690567,36.355031
648,120.690586,36.355024
649,120.690605,36.355018
650,120.690625,36.355011
651,120.690644,36.355005
652,120.690663,36.354998
653,120.690682,36.354992
654,120.690702,36.354985
655,120.690721,36.354979
656,120.690740,36.354972
657,120.690759,36.354966
658,120.690779,36.354959
659,120.690798,36.354953
660,120.690817,36.354946
661,120.690836,36.354940
662,120.690855,36.354933
663,120.690875,36.354927
664,120.690894,36.354920
665,120.690913,36.354914
666,120.690932,36.354907
667,120.690952,36.354901
668,120.690971,36.354894
669,120.690990,36.354888
670,120.691009,36.354881
671,120.691029,36.354875
672,120.691048,36.354868
673,120.691067,36.354862
674,120.691086,36.354855
675,120.691106,36.354849
676,120.691125,36.354842
677,120.691144,36.354836
678,120.691163,36.354829
679,120.691182,36.354823
680,120.691202,36.354816
681,120.691221,36.354810
682,120.691240,36.354803
683,120.691259,36.354797
684,120.691279,36.354790
685,120.691298,36.354784
686,120.691317,36.354777
687,120.691336,36.354771
688,120.691356,36.354764
689,120.691375,36.354758
690,120.691394,36.354751
691,120.691413,36.354745
692,120.691433,36.354738
693,120.691452,36.354732
694,120.691490,36.354719
695,120.691509,36.354712
696,120.691528,36.354706
697,120.691547,36.354700
698,120.691566,36.354694
699,120.691585,36.354687
700,120.691604,36.354681
701,120.691623,36.354675
702,120.691642,36.354669
703,120.691661,36.354662
704,120.691680,36.354656
705,120.691699,36.354650
706,120.691718,36.354644
707,120.691737,36.354637
708,120.691756,36.354631
709,120.691775,36.354625
710,120.691794,36.354619
711,120.691813,36.354612
712,120.691832,36.354606
713,120.691851,36.354600
714,120.691870,36.354594
715,120.691890,36.354587
716,120.691909,36.354581
717,120.691928,36.354575
718,120.691947,36.354568
719,120.691966,36.354562
720,120.691985,36.354556
721,120.692004,36.354550
722,120.692023,36.354543
723,120.692042,36.354537
724,120.692061,36.354531
725,120.692080,36.354525
726,120.692099,36.354518
727,120.692118,36.354512
728,120.692137,36.354506
729,120.692156,36.354500
730,120.692175,36.354493
731,120.692194,36.354487
732,120.692213,36.354481
733,120.692232,36.354475
734,120.692251,36.354468
735,120.692289,36.354455
736,120.692308,36.354449
737,120.692327,36.354442
738,120.692346,36.354436
739,120.692365,36.354429
740,120.692384,36.354422
741,120.692403,36.354416
742,120.692422,36.354409
743,120.692441,36.354403
744,120.692460,36.354396
745,120.692479,36.354389
746,120.692498,36.354383
747,120.692517,36.354376
748,120.692536,36.354370
749,120.692555,36.354363
750,120.692574,36.354357
751,120.692593,36.354350
752,120.692612,36.354343
753,120.692631,36.354337
754,120.692650,36.354330
755,120.692669,36.354324
756,120.692689,36.354317
757,120.692708,36.354310
758,120.692727,36.354304
759,120.692746,36.354297
760,120.692765,36.354291
761,120.692784,36.354284
762,120.692803,36.354277
763,120.692822,36.354271
764,120.692841,36.354264
765,120.692860,36.354258
766,120.692879,36.354251
767,120.692898,36.354245
768,120.692917,36.354238
769,120.692936,36.354231
770,120.692955,36.354225
771,120.692974,36.354218
772,120.692993,36.354212
773,120.693012,36.354205
774,120.693031,36.354198
775,120.693050,36.354192
776,120.693069,36.354185
777,120.693088,36.354179
778,120.693126,36.354166
779,120.693146,36.354161
780,120.693165,36.354155
781,120.693184,36.354149
782,120.693203,36.354144
783,120.693223,36.354138
784,120.693242,36.354132
785,120.693261,36.354126
786,120.693281,36.354121
787,120.693300,36.354115
788,120.693319,36.354109
789,120.693338,36.354104
790,120.693358,36.354098
791,120.693377,36.354092
792,120.693396,36.354087
793,120.693416,36.354081
794,120.693435,36.354075
795,120.693454,36.354070
796,120.693473,36.354064
797,120.693493,36.354058
798,120.693512,36.354053
799,120.693531,36.354047
800,120.693550,36.354041
801,120.693570,36.354036
802,120.693589,36.354030
803,120.693608,36.354024
804,120.693628,36.354018
805,120.693647,36.354013
806,120.693666,36.354007
807,120.693685,36.354001
808,120.693705,36.353996
809,120.693745,36.353986
810,120.693766,36.353982
811,120.693787,36.353979
812,120.693808,36.353975
813,120.693828,36.353971
814,120.693849,36.353967
815,120.693870,36.353963
816,120.693891,36.353960
817,120.693912,36.353956
818,120.693933,36.353952
819,120.694089,36.359574
820,120.694100,36.359821
821,120.694116,36.360288
822,120.694137,36.361377
823,120.694169,36.362079
824,120.694169,36.362230
825,120.694180,36.362396
826,120.694207,36.363179
827,120.694250,36.364295
828,120.694255,36.364745
829,120.694266,36.365464
830,120.694255,36.365856
831,120.694159,36.366231
832,120.693934,36.353972
833,120.693934,36.353992
834,120.693935,36.354012
835,120.693935,36.354032
836,120.693936,36.354052
837,120.693936,36.354072
838,120.693937,36.354092
839,120.693937,36.354112
840,120.693938,36.354132
841,120.693939,36.354152
842,120.693939,36.354172
843,120.693940,36.354192
844,120.693940,36.354212
845,120.693941,36.354232
846,120.693941,36.354252
847,120.693942,36.354272
848,120.693942,36.354292
849,120.693943,36.354312
850,120.693944,36.354332
851,120.693944,36.354352
